Province,Year,Gender,Area_Type,Percentage
Bengkulu,2016,Female,Urban,28.57295366
Bengkulu,2016,Female,Rural,27.24128549
Bengkulu,2016,Female,Urban+Rural,27.67216361
Bengkulu,2017,Male,Urban,24.41325854
Bengkulu,2017,Male,Rural,23.07386523
Bengkulu,2017,Male,Urban+Rural,23.49598269
Bengkulu,2017,Female,Urban,28.0580588
Bengkulu,2017,Female,Rural,25.31648059
Bengkulu,2017,Female,Urban+Rural,26.21045261
Bengkulu,2018,Male,Urban,23.8616907
Bengkulu,2018,Male,Rural,26.72756586
Bengkulu,2018,Male,Urban+Rural,25.80687379
Bengkulu,2018,Female,Urban,25.59071117
Bengkulu,2018,Female,Rural,29.77792641
Bengkulu,2018,Female,Urban+Rural,28.38519119
Bengkulu,2019,Male,Urban,29.99039103
Bengkulu,2019,Male,Rural,27.80529157
Bengkulu,2019,Male,Urban+Rural,28.53448514
Bengkulu,2019,Female,Urban,32.66004201
Bengkulu,2019,Female,Rural,30.13830719
Bengkulu,2019,Female,Urban+Rural,30.96462424
Bengkulu,2020,Male,Urban,28.764948
Bengkulu,2020,Male,Rural,28.94124561
Bengkulu,2020,Male,Urban+Rural,28.88220234
Bengkulu,2020,Female,Urban,32.21880538
Bengkulu,2020,Female,Rural,31.36251515
Bengkulu,2020,Female,Urban+Rural,31.64341039
Bengkulu,2021,Male,Urban,36.05465571
Bengkulu,2021,Male,Rural,20.7747562
Bengkulu,2021,Male,Urban+Rural,25.86109511
Bengkulu,2021,Female,Urban,35.87085901
Bengkulu,2021,Female,Rural,23.30640331
Bengkulu,2021,Female,Urban+Rural,27.43742205
Bengkulu,2022,Male,Urban,35.24903424
Bengkulu,2022,Male,Rural,21.77010986
Bengkulu,2022,Male,Urban+Rural,26.14795004
Bengkulu,2022,Female,Urban,37.53816423
Bengkulu,2022,Female,Rural,23.18172216
Bengkulu,2022,Female,Urban+Rural,28.06696318
Bengkulu,2023,Male,Urban,28.11996695
Bengkulu,2023,Male,Rural,25.4372847
Bengkulu,2023,Male,Urban+Rural,26.31469768
Bengkulu,2023,Female,Urban,29.39832298
Bengkulu,2023,Female,Rural,29.32448959
Bengkulu,2023,Female,Urban+Rural,29.34978021
Lampung,2009,Male,Urban,36.91
Lampung,2009,Male,Rural,37.36
Lampung,2009,Male,Urban+Rural,37.24
Lampung,2009,Female,Urban,37.05
Lampung,2009,Female,Rural,37.91
Lampung,2009,Female,Urban+Rural,37.67
Lampung,2010,Male,Urban,34.93
Lampung,2010,Male,Rural,34.69
Lampung,2010,Male,Urban+Rural,34.75
Lampung,2010,Female,Urban,34.98
Lampung,2010,Female,Rural,34.39
Lampung,2010,Female,Urban+Rural,34.55
Lampung,2011,Male,Urban,24.8
Lampung,2011,Male,Rural,31.84
Lampung,2011,Male,Urban+Rural,30.07
Lampung,2011,Female,Urban,32.84
Lampung,2011,Female,Rural,26.37
Lampung,2011,Female,Urban+Rural,31.14
Lampung,2012,Male,Urban,33.19
Lampung,2012,Male,Rural,29.68
Lampung,2012,Male,Urban+Rural,30.58
Lampung,2012,Female,Urban,35.62
Lampung,2012,Female,Rural,31.83
Lampung,2012,Female,Urban+Rural,32.83
Lampung,2013,Male,Urban,22.97929334
Lampung,2013,Male,Rural,30.88791164
Lampung,2013,Male,Urban+Rural,28.86035741
Lampung,2013,Female,Urban,23.83642997
Lampung,2013,Female,Rural,30.88145931
Lampung,2013,Female,Urban+Rural,29.01497296
Lampung,2014,Male,Urban,22.16243209
Lampung,2014,Male,Rural,30.32734295
Lampung,2014,Male,Urban+Rural,28.23279846
Lampung,2014,Female,Urban,23.8591826
Lampung,2014,Female,Rural,30.91400135
Lampung,2014,Female,Urban+Rural,29.04309178
Lampung,2015,Male,Urban,26.44070514
Lampung,2015,Male,Rural,31.78823844
Lampung,2015,Male,Urban+Rural,30.40610129
Lampung,2015,Female,Urban,29.44010273
Lampung,2015,Female,Rural,33.60379405
Lampung,2015,Female,Urban+Rural,32.48999336
Lampung,2016,Male,Urban,19.70665624
Lampung,2016,Male,Rural,28.30906581
Lampung,2016,Male,Urban+Rural,26.02132071
Lampung,2016,Female,Urban,22.26459288
Lampung,2016,Female,Rural,31.3452384
Lampung,2016,Female,Urban+Rural,28.83727837
Lampung,2017,Male,Urban,25.42969665
Lampung,2017,Male,Rural,28.20551739
Lampung,2017,Male,Urban+Rural,27.4532805
Lampung,2017,Female,Urban,26.16344831
Lampung,2017,Female,Rural,30.99400993
Lampung,2017,Female,Urban+Rural,29.64103772
Lampung,2018,Male,Urban,29.0343616
Lampung,2018,Male,Rural,29.59878077
Lampung,2018,Male,Urban+Rural,29.43464104
Lampung,2018,Female,Urban,30.61082332
Lampung,2018,Female,Rural,32.50663143
Lampung,2018,Female,Urban+Rural,31.93642593
Lampung,2019,Male,Urban,29.73694446
Lampung,2019,Male,Rural,35.49196479
Lampung,2019,Male,Urban+Rural,33.71035229
Lampung,2019,Female,Urban,33.83417121
Lampung,2019,Female,Rural,38.41512758
Lampung,2019,Female,Urban+Rural,37.00862983
Lampung,2020,Male,Urban,28.82190197
Lampung,2020,Male,Rural,30.06956114
Lampung,2020,Male,Urban+Rural,29.68219755
Lampung,2020,Female,Urban,31.23523041
Lampung,2020,Female,Rural,33.92612673
Lampung,2020,Female,Urban+Rural,33.09781732
Lampung,2021,Male,Urban,36.4784206
Lampung,2021,Male,Rural,23.1063508
Lampung,2021,Male,Urban+Rural,27.38154948
Lampung,2021,Female,Urban,37.37368229
Lampung,2021,Female,Rural,25.87258337
Lampung,2021,Female,Urban+Rural,29.53509753
Lampung,2022,Male,Urban,22.28863784
Lampung,2022,Male,Rural,34.66135828
Lampung,2022,Male,Urban+Rural,30.64960724
Lampung,2022,Female,Urban,27.18663738
Lampung,2022,Female,Rural,38.55473292
Lampung,2022,Female,Urban+Rural,34.7633247
Lampung,2023,Male,Urban,23.53572971
Lampung,2023,Male,Rural,26.36988892
Lampung,2023,Male,Urban+Rural,25.44803603
Lampung,2023,Female,Urban,26.36104604
Lampung,2023,Female,Rural,28.81358187
Lampung,2023,Female,Urban+Rural,27.97924604
Kepulauan Bangka Belitung,2009,Male,Urban,43.3
Kepulauan Bangka Belitung,2009,Male,Rural,41.28
Kepulauan Bangka Belitung,2009,Male,Urban+Rural,42.23
Kepulauan Bangka Belitung,2009,Female,Urban,44.91
Kepulauan Bangka Belitung,2009,Female,Rural,42.8
Kepulauan Bangka Belitung,2009,Female,Urban+Rural,43.83
Kepulauan Bangka Belitung,2010,Male,Urban,34.47
Kepulauan Bangka Belitung,2010,Male,Rural,30.11
Kepulauan Bangka Belitung,2010,Male,Urban+Rural,32.25
Kepulauan Bangka Belitung,2010,Female,Urban,38.82
Kepulauan Bangka Belitung,2010,Female,Rural,32.89
Kepulauan Bangka Belitung,2010,Female,Urban+Rural,35.82
Kepulauan Bangka Belitung,2011,Male,Urban,32.87
Kepulauan Bangka Belitung,2011,Male,Rural,30.16
Kepulauan Bangka Belitung,2011,Male,Urban+Rural,31.5
Kepulauan Bangka Belitung,2011,Female,Urban,29.37
Kepulauan Bangka Belitung,2011,Female,Rural,32.65
Kepulauan Bangka Belitung,2011,Female,Urban+Rural,30.97
Kepulauan Bangka Belitung,2012,Male,Urban,28.53
Kepulauan Bangka Belitung,2012,Male,Rural,26.65
Kepulauan Bangka Belitung,2012,Male,Urban+Rural,27.57
Kepulauan Bangka Belitung,2012,Female,Urban,30.94
Kepulauan Bangka Belitung,2012,Female,Rural,28.98
Kepulauan Bangka Belitung,2012,Female,Urban+Rural,29.96
Kepulauan Bangka Belitung,2013,Male,Urban,28.42896027
Kepulauan Bangka Belitung,2013,Male,Rural,24.81536631
Kepulauan Bangka Belitung,2013,Male,Urban+Rural,26.57943056
Kepulauan Bangka Belitung,2013,Female,Urban,29.80381223
Kepulauan Bangka Belitung,2013,Female,Rural,26.17465101
Kepulauan Bangka Belitung,2013,Female,Urban+Rural,27.9744881
Kepulauan Bangka Belitung,2014,Male,Urban,27.0704299
Kepulauan Bangka Belitung,2014,Male,Rural,23.89788376
Kepulauan Bangka Belitung,2014,Male,Urban+Rural,25.4484023
Kepulauan Bangka Belitung,2014,Female,Urban,28.41412861
Kepulauan Bangka Belitung,2014,Female,Rural,25.91445954
Kepulauan Bangka Belitung,2014,Female,Urban+Rural,27.15711802
Kepulauan Bangka Belitung,2015,Male,Urban,31.98262561
Kepulauan Bangka Belitung,2015,Male,Rural,26.73623442
Kepulauan Bangka Belitung,2015,Male,Urban+Rural,29.29564422
Kepulauan Bangka Belitung,2015,Female,Urban,33.35491619
Kepulauan Bangka Belitung,2015,Female,Rural,29.91058349
Kepulauan Bangka Belitung,2015,Female,Urban+Rural,31.62394606
Kepulauan Bangka Belitung,2016,Male,Urban,31.92469307
Kepulauan Bangka Belitung,2016,Male,Rural,26.59269025
Kepulauan Bangka Belitung,2016,Male,Urban+Rural,29.2595559
Kepulauan Bangka Belitung,2016,Female,Urban,36.34184751
Kepulauan Bangka Belitung,2016,Female,Rural,30.65013239
Kepulauan Bangka Belitung,2016,Female,Urban+Rural,33.56832179
Kepulauan Bangka Belitung,2017,Male,Urban,28.00643871
Kepulauan Bangka Belitung,2017,Male,Rural,23.88543641
Kepulauan Bangka Belitung,2017,Male,Urban+Rural,26.02298098
Kepulauan Bangka Belitung,2017,Female,Urban,32.73143293
Kepulauan Bangka Belitung,2017,Female,Rural,25.94154106
Kepulauan Bangka Belitung,2017,Female,Urban+Rural,29.5207126
Kepulauan Bangka Belitung,2018,Male,Urban,26.94828822
Kepulauan Bangka Belitung,2018,Male,Rural,26.80760916
Kepulauan Bangka Belitung,2018,Male,Urban+Rural,26.88256385
Kepulauan Bangka Belitung,2018,Female,Urban,32.33926004
Kepulauan Bangka Belitung,2018,Female,Rural,30.73127619
Kepulauan Bangka Belitung,2018,Female,Urban+Rural,31.60193543
Kepulauan Bangka Belitung,2019,Male,Urban,33.4258088
Kepulauan Bangka Belitung,2019,Male,Rural,27.56797409
Kepulauan Bangka Belitung,2019,Male,Urban+Rural,30.84500334
Kepulauan Bangka Belitung,2019,Female,Urban,37.69488059
Kepulauan Bangka Belitung,2019,Female,Rural,31.41090275
Kepulauan Bangka Belitung,2019,Female,Urban+Rural,34.82666386
Kepulauan Bangka Belitung,2020,Male,Urban,31.13174167
Kepulauan Bangka Belitung,2020,Male,Rural,26.27260223
Kepulauan Bangka Belitung,2020,Male,Urban+Rural,28.99371798
Kepulauan Bangka Belitung,2020,Female,Urban,35.90897362
Kepulauan Bangka Belitung,2020,Female,Rural,31.04988785
Kepulauan Bangka Belitung,2020,Female,Urban+Rural,33.68838262
Kepulauan Bangka Belitung,2021,Male,Urban,29.4620667
Kepulauan Bangka Belitung,2021,Male,Rural,20.65761138
Kepulauan Bangka Belitung,2021,Male,Urban+Rural,25.68897941
Kepulauan Bangka Belitung,2021,Female,Urban,29.69065852
Kepulauan Bangka Belitung,2021,Female,Rural,22.8458163
Kepulauan Bangka Belitung,2021,Female,Urban+Rural,26.65253328
Kepulauan Bangka Belitung,2022,Male,Urban,32.9513836
Kepulauan Bangka Belitung,2022,Male,Rural,33.52307624
Kepulauan Bangka Belitung,2022,Male,Urban+Rural,33.20113922
Kepulauan Bangka Belitung,2022,Female,Urban,37.65097188
Kepulauan Bangka Belitung,2022,Female,Rural,37.74173252
Kepulauan Bangka Belitung,2022,Female,Urban+Rural,37.68901722
Kepulauan Bangka Belitung,2023,Male,Urban,27.06110665
Kepulauan Bangka Belitung,2023,Male,Rural,25.65691051
Kepulauan Bangka Belitung,2023,Male,Urban+Rural,26.4566401
Kepulauan Bangka Belitung,2023,Female,Urban,30.85746333
Kepulauan Bangka Belitung,2023,Female,Rural,31.09604048
Kepulauan Bangka Belitung,2023,Female,Urban+Rural,30.95626752
Kepulauan Riau,2009,Male,Urban,34.53
Kepulauan Riau,2009,Male,Rural,36.92
Kepulauan Riau,2009,Male,Urban+Rural,35.69
Kepulauan Riau,2009,Female,Urban,36.09
Kepulauan Riau,2009,Female,Rural,41.75
Kepulauan Riau,2009,Female,Urban+Rural,38.66
Kepulauan Riau,2010,Male,Urban,26.47
Kepulauan Riau,2010,Male,Rural,35.47
Kepulauan Riau,2010,Male,Urban+Rural,28.06
Kepulauan Riau,2010,Female,Urban,26.42
Kepulauan Riau,2010,Female,Rural,36.09
Kepulauan Riau,2010,Female,Urban+Rural,28.01
Kepulauan Riau,2011,Male,Urban,18.57
Kepulauan Riau,2011,Male,Rural,28.71
Kepulauan Riau,2011,Male,Urban+Rural,20.38
Kepulauan Riau,2011,Female,Urban,30.94
Kepulauan Riau,2011,Female,Rural,20.47
Kepulauan Riau,2011,Female,Urban+Rural,22.29
Kepulauan Riau,2012,Male,Urban,26.77
Kepulauan Riau,2012,Male,Rural,25.15
Kepulauan Riau,2012,Male,Urban+Rural,26.49
Kepulauan Riau,2012,Female,Urban,28.14
Kepulauan Riau,2012,Female,Rural,28.72
Kepulauan Riau,2012,Female,Urban+Rural,28.24
Kepulauan Riau,2013,Male,Urban,24.09898454
Kepulauan Riau,2013,Male,Rural,26.58996681
Kepulauan Riau,2013,Male,Urban+Rural,24.5209014
Kepulauan Riau,2013,Female,Urban,23.49458507
Kepulauan Riau,2013,Female,Rural,27.88771247
Kepulauan Riau,2013,Female,Urban+Rural,24.20866664
Kepulauan Riau,2014,Male,Urban,22.93392595
Kepulauan Riau,2014,Male,Rural,24.75248313
Kepulauan Riau,2014,Male,Urban+Rural,23.23609086
Kepulauan Riau,2014,Female,Urban,21.06520585
Kepulauan Riau,2014,Female,Rural,29.28439227
Kepulauan Riau,2014,Female,Urban+Rural,22.37683299
Kepulauan Riau,2015,Male,Urban,20.55770927
Kepulauan Riau,2015,Male,Rural,23.62829261
Kepulauan Riau,2015,Male,Urban+Rural,21.07176588
Kepulauan Riau,2015,Female,Urban,21.56850073
Kepulauan Riau,2015,Female,Rural,21.11166662
Kepulauan Riau,2015,Female,Urban+Rural,21.49514595
Kepulauan Riau,2016,Male,Urban,21.52114893
Kepulauan Riau,2016,Male,Rural,21.46083353
Kepulauan Riau,2016,Male,Urban+Rural,21.5116368
Kepulauan Riau,2016,Female,Urban,22.73984578
Kepulauan Riau,2016,Female,Rural,23.50988304
Kepulauan Riau,2016,Female,Urban+Rural,22.85760004
Kepulauan Riau,2017,Male,Urban,20.37665798
Kepulauan Riau,2017,Male,Rural,20.28214391
Kepulauan Riau,2017,Male,Urban+Rural,20.36222737
Kepulauan Riau,2017,Female,Urban,22.7358116
Kepulauan Riau,2017,Female,Rural,21.86384341
Kepulauan Riau,2017,Female,Urban+Rural,22.60764501
Kepulauan Riau,2018,Male,Urban,20.91929356
Kepulauan Riau,2018,Male,Rural,24.49187104
Kepulauan Riau,2018,Male,Urban+Rural,21.43315266
Kepulauan Riau,2018,Female,Urban,23.03797949
Kepulauan Riau,2018,Female,Rural,25.63601367
Kepulauan Riau,2018,Female,Urban+Rural,23.40247524
Kepulauan Riau,2019,Male,Urban,19.10883503
Kepulauan Riau,2019,Male,Rural,22.42332425
Kepulauan Riau,2019,Male,Urban+Rural,19.45361147
Kepulauan Riau,2019,Female,Urban,23.16322629
Kepulauan Riau,2019,Female,Rural,25.21463972
Kepulauan Riau,2019,Female,Urban+Rural,23.36358853
Kepulauan Riau,2020,Male,Urban,16.36952604
Kepulauan Riau,2020,Male,Rural,18.85342733
Kepulauan Riau,2020,Male,Urban+Rural,16.60730511
Kepulauan Riau,2020,Female,Urban,19.81056364
Kepulauan Riau,2020,Female,Rural,20.41356551
Kepulauan Riau,2020,Female,Urban+Rural,19.87276491
Kepulauan Riau,2021,Male,Urban,13.95481925
Kepulauan Riau,2021,Male,Rural,11.86343387
Kepulauan Riau,2021,Male,Urban+Rural,13.80145645
Kepulauan Riau,2021,Female,Urban,15.6599197
Kepulauan Riau,2021,Female,Rural,15.63353686
Kepulauan Riau,2021,Female,Urban+Rural,15.65791607
Kepulauan Riau,2022,Male,Urban,16.38687315
Kepulauan Riau,2022,Male,Rural,24.77820792
Kepulauan Riau,2022,Male,Urban+Rural,17.44453288
Kepulauan Riau,2022,Female,Urban,18.06367098
Kepulauan Riau,2022,Female,Rural,29.91304757
Kepulauan Riau,2022,Female,Urban+Rural,19.3415869
Kepulauan Riau,2023,Male,Urban,30.16025733
Kepulauan Riau,2023,Male,Rural,20.4180252
Kepulauan Riau,2023,Male,Urban+Rural,28.98917522
Kepulauan Riau,2023,Female,Urban,35.15490122
Kepulauan Riau,2023,Female,Rural,29.85260281
Kepulauan Riau,2023,Female,Urban+Rural,34.58037819
DKI Jakarta,2009,Male,Urban,36.19
DKI Jakarta,2009,Male,Rural,0
DKI Jakarta,2009,Male,Urban+Rural,36.19
DKI Jakarta,2009,Female,Urban,37.3
DKI Jakarta,2009,Female,Rural,0
DKI Jakarta,2009,Female,Urban+Rural,37.3
DKI Jakarta,2010,Male,Urban,33.26
DKI Jakarta,2010,Male,Rural,0
DKI Jakarta,2010,Male,Urban+Rural,33.26
DKI Jakarta,2010,Female,Urban,34.36
DKI Jakarta,2010,Female,Rural,0
DKI Jakarta,2010,Female,Urban+Rural,34.36
DKI Jakarta,2011,Male,Urban,32.41
DKI Jakarta,2011,Male,Rural,0
DKI Jakarta,2011,Male,Urban+Rural,32.41
DKI Jakarta,2011,Female,Urban,0
DKI Jakarta,2011,Female,Rural,32.98
DKI Jakarta,2011,Female,Urban+Rural,32.98
DKI Jakarta,2012,Male,Urban,31.64
DKI Jakarta,2012,Male,Rural,0
DKI Jakarta,2012,Male,Urban+Rural,31.64
DKI Jakarta,2012,Female,Urban,34.24
DKI Jakarta,2012,Female,Rural,0
DKI Jakarta,2012,Female,Urban+Rural,34.24
DKI Jakarta,2013,Male,Urban,28.86876945
DKI Jakarta,2013,Male,Rural,0
DKI Jakarta,2013,Male,Urban+Rural,28.86876945
DKI Jakarta,2013,Female,Urban,30.64083968
DKI Jakarta,2013,Female,Rural,0
DKI Jakarta,2013,Female,Urban+Rural,30.64083968
DKI Jakarta,2014,Male,Urban,29.70488065
DKI Jakarta,2014,Male,Rural,0
DKI Jakarta,2014,Male,Urban+Rural,29.70488065
DKI Jakarta,2014,Female,Urban,31.20890507
DKI Jakarta,2014,Female,Rural,0
DKI Jakarta,2014,Female,Urban+Rural,31.20890507
DKI Jakarta,2015,Male,Urban,32.51041476
DKI Jakarta,2015,Male,Rural,0
DKI Jakarta,2015,Male,Urban+Rural,32.51041476
DKI Jakarta,2015,Female,Urban,34.28267734
DKI Jakarta,2015,Female,Rural,0
DKI Jakarta,2015,Female,Urban+Rural,34.28267734
DKI Jakarta,2016,Male,Urban,28.61647217
DKI Jakarta,2016,Male,Rural,0
DKI Jakarta,2016,Male,Urban+Rural,28.61647217
DKI Jakarta,2016,Female,Urban,32.30878617
DKI Jakarta,2016,Female,Rural,0
DKI Jakarta,2016,Female,Urban+Rural,32.30878617
DKI Jakarta,2017,Male,Urban,26.66158769
DKI Jakarta,2017,Male,Rural,0
DKI Jakarta,2017,Male,Urban+Rural,26.66158769
DKI Jakarta,2017,Female,Urban,27.43708401
DKI Jakarta,2017,Female,Rural,0
DKI Jakarta,2017,Female,Urban+Rural,27.43708401
DKI Jakarta,2018,Male,Urban,26.91834167
DKI Jakarta,2018,Male,Rural,0
DKI Jakarta,2018,Male,Urban+Rural,26.91834167
DKI Jakarta,2018,Female,Urban,30.74651166
DKI Jakarta,2018,Female,Rural,0
DKI Jakarta,2018,Female,Urban+Rural,30.74651166
DKI Jakarta,2019,Male,Urban,27.42923763
DKI Jakarta,2019,Male,Rural,NA
DKI Jakarta,2019,Male,Urban+Rural,27.42923763
DKI Jakarta,2019,Female,Urban,31.14806305
DKI Jakarta,2019,Female,Rural,NA
DKI Jakarta,2019,Female,Urban+Rural,31.14806305
DKI Jakarta,2020,Male,Urban,31.84965332
DKI Jakarta,2020,Male,Rural,0
DKI Jakarta,2020,Male,Urban+Rural,31.84965332
DKI Jakarta,2020,Female,Urban,35.74864535
DKI Jakarta,2020,Female,Rural,0
DKI Jakarta,2020,Female,Urban+Rural,35.74864535
DKI Jakarta,2021,Male,Urban,25.34554282
DKI Jakarta,2021,Male,Rural,0
DKI Jakarta,2021,Male,Urban+Rural,25.34554282
DKI Jakarta,2021,Female,Urban,26.61148381
DKI Jakarta,2021,Female,Rural,0
DKI Jakarta,2021,Female,Urban+Rural,26.61148381
DKI Jakarta,2022,Male,Urban,14.66218723
DKI Jakarta,2022,Male,Rural,0
DKI Jakarta,2022,Male,Urban+Rural,14.66218723
DKI Jakarta,2022,Female,Urban,17.54843094
DKI Jakarta,2022,Female,Rural,0
DKI Jakarta,2022,Female,Urban+Rural,17.54843094
DKI Jakarta,2023,Male,Urban,19.54907975
DKI Jakarta,2023,Male,Rural,0
DKI Jakarta,2023,Male,Urban+Rural,19.54907975
DKI Jakarta,2023,Female,Urban,22.3277696
DKI Jakarta,2023,Female,Rural,0
DKI Jakarta,2023,Female,Urban+Rural,22.3277696
Jawa Barat,2009,Male,Urban,31.66
Jawa Barat,2009,Male,Rural,33.15
Jawa Barat,2009,Male,Urban+Rural,32.27
Jawa Barat,2009,Female,Urban,31.28
Jawa Barat,2009,Female,Rural,33.55
Jawa Barat,2009,Female,Urban+Rural,32.22
Jawa Barat,2010,Male,Urban,27.78
Jawa Barat,2010,Male,Rural,27.94
Jawa Barat,2010,Male,Urban+Rural,27.83
Jawa Barat,2010,Female,Urban,27.8
Jawa Barat,2010,Female,Rural,28.92
Jawa Barat,2010,Female,Urban+Rural,28.18
Jawa Barat,2011,Male,Urban,26.79
Jawa Barat,2011,Male,Rural,31.17
Jawa Barat,2011,Male,Urban+Rural,28.32
Jawa Barat,2011,Female,Urban,31.88
Jawa Barat,2011,Female,Rural,28.4
Jawa Barat,2011,Female,Urban+Rural,29.57
Jawa Barat,2012,Male,Urban,26.55
Jawa Barat,2012,Male,Rural,29.89
Jawa Barat,2012,Male,Urban+Rural,27.68
Jawa Barat,2012,Female,Urban,28.07
Jawa Barat,2012,Female,Rural,31.53
Jawa Barat,2012,Female,Urban+Rural,29.25
Jawa Barat,2013,Male,Urban,25.65654425
Jawa Barat,2013,Male,Rural,29.89174713
Jawa Barat,2013,Male,Urban+Rural,27.08673017
Jawa Barat,2013,Female,Urban,26.74741493
Jawa Barat,2013,Female,Rural,31.99642316
Jawa Barat,2013,Female,Urban+Rural,28.52131213
Jawa Barat,2014,Male,Urban,26.63227155
Jawa Barat,2014,Male,Rural,30.32957008
Jawa Barat,2014,Male,Urban+Rural,27.87367531
Jawa Barat,2014,Female,Urban,27.26525475
Jawa Barat,2014,Female,Rural,31.25377121
Jawa Barat,2014,Female,Urban+Rural,28.60586997
Jawa Barat,2015,Male,Urban,26.88464894
Jawa Barat,2015,Male,Rural,27.90435094
Jawa Barat,2015,Male,Urban+Rural,27.21760947
Jawa Barat,2015,Female,Urban,28.62539934
Jawa Barat,2015,Female,Rural,29.82891238
Jawa Barat,2015,Female,Urban+Rural,29.01920742
Jawa Barat,2016,Male,Urban,26.69038302
Jawa Barat,2016,Male,Rural,28.3864819
Jawa Barat,2016,Male,Urban+Rural,27.21513561
Jawa Barat,2016,Female,Urban,29.15282351
Jawa Barat,2016,Female,Rural,30.1588862
Jawa Barat,2016,Female,Urban+Rural,29.46498428
Jawa Barat,2017,Male,Urban,27.71866889
Jawa Barat,2017,Male,Rural,29.79488695
Jawa Barat,2017,Male,Urban+Rural,28.30099243
Jawa Barat,2017,Female,Urban,29.66962557
Jawa Barat,2017,Female,Rural,31.71272224
Jawa Barat,2017,Female,Urban+Rural,30.24381704
Jawa Barat,2018,Male,Urban,28.64825936
Jawa Barat,2018,Male,Rural,31.89705198
Jawa Barat,2018,Male,Urban+Rural,29.48831934
Jawa Barat,2018,Female,Urban,31.87301478
Jawa Barat,2018,Female,Rural,34.74683761
Jawa Barat,2018,Female,Urban+Rural,32.61797871
Jawa Barat,2019,Male,Urban,30.09744442
Jawa Barat,2019,Male,Rural,34.32962963
Jawa Barat,2019,Male,Urban+Rural,31.045337
Jawa Barat,2019,Female,Urban,33.90254122
Jawa Barat,2019,Female,Rural,39.16222865
Jawa Barat,2019,Female,Urban+Rural,35.19829697
Jawa Barat,2020,Male,Urban,30.03741342
Jawa Barat,2020,Male,Rural,31.95749488
Jawa Barat,2020,Male,Urban+Rural,30.46345008
Jawa Barat,2020,Female,Urban,33.24584512
Jawa Barat,2020,Female,Rural,34.93608221
Jawa Barat,2020,Female,Urban+Rural,33.66087544
Jawa Barat,2021,Male,Urban,30.46890946
Jawa Barat,2021,Male,Rural,24.06933309
Jawa Barat,2021,Male,Urban+Rural,29.13155534
Jawa Barat,2021,Female,Urban,31.31859924
Jawa Barat,2021,Female,Rural,27.16450385
Jawa Barat,2021,Female,Urban+Rural,30.36718669
Jawa Barat,2022,Male,Urban,27.2765193
Jawa Barat,2022,Male,Rural,36.843081
Jawa Barat,2022,Male,Urban+Rural,29.31835066
Jawa Barat,2022,Female,Urban,31.1948157
Jawa Barat,2022,Female,Rural,40.39106158
Jawa Barat,2022,Female,Urban+Rural,33.16613218
Jawa Barat,2023,Male,Urban,22.95285348
Jawa Barat,2023,Male,Rural,27.61662091
Jawa Barat,2023,Male,Urban+Rural,23.91059278
Jawa Barat,2023,Female,Urban,25.65139769
Jawa Barat,2023,Female,Rural,30.55740751
Jawa Barat,2023,Female,Urban+Rural,26.65863678
Jawa Tengah,2009,Male,Urban,32.1
Jawa Tengah,2009,Male,Rural,31.36
Jawa Tengah,2009,Male,Urban+Rural,31.72
Jawa Tengah,2009,Female,Urban,34.15
Jawa Tengah,2009,Female,Rural,32.4
Jawa Tengah,2009,Female,Urban+Rural,33.25
Jawa Tengah,2010,Male,Urban,26.62
Jawa Tengah,2010,Male,Rural,28.43
Jawa Tengah,2010,Male,Urban+Rural,27.61
Jawa Tengah,2010,Female,Urban,29.29
Jawa Tengah,2010,Female,Rural,30.24
Jawa Tengah,2010,Female,Urban+Rural,29.8
Jawa Tengah,2011,Male,Urban,29.22
Jawa Tengah,2011,Male,Rural,28.96
Jawa Tengah,2011,Male,Urban+Rural,29.08
Jawa Tengah,2011,Female,Urban,30.54
Jawa Tengah,2011,Female,Rural,32
Jawa Tengah,2011,Female,Urban+Rural,31.21
Jawa Tengah,2012,Male,Urban,32.11
Jawa Tengah,2012,Male,Rural,29.68
Jawa Tengah,2012,Male,Urban+Rural,30.79
Jawa Tengah,2012,Female,Urban,33.68
Jawa Tengah,2012,Female,Rural,31.1
Jawa Tengah,2012,Female,Urban+Rural,32.28
Jawa Tengah,2013,Male,Urban,31.33155838
Jawa Tengah,2013,Male,Rural,30.95238371
Jawa Tengah,2013,Male,Urban+Rural,31.12584461
Jawa Tengah,2013,Female,Urban,33.33100406
Jawa Tengah,2013,Female,Rural,32.19054679
Jawa Tengah,2013,Female,Urban+Rural,32.71420998
Jawa Tengah,2014,Male,Urban,33.22851177
Jawa Tengah,2014,Male,Rural,30.90464229
Jawa Tengah,2014,Male,Urban+Rural,31.9685736
Jawa Tengah,2014,Female,Urban,35.42419975
Jawa Tengah,2014,Female,Rural,32.52041971
Jawa Tengah,2014,Female,Urban+Rural,33.85497329
Jawa Tengah,2015,Male,Urban,35.51085913
Jawa Tengah,2015,Male,Rural,33.84320218
Jawa Tengah,2015,Male,Urban+Rural,34.60848684
Jawa Tengah,2015,Female,Urban,37.64151056
Jawa Tengah,2015,Female,Rural,35.38314906
Jawa Tengah,2015,Female,Urban+Rural,36.42408137
Jawa Tengah,2016,Male,Urban,32.25736118
Jawa Tengah,2016,Male,Rural,32.49609074
Jawa Tengah,2016,Male,Urban+Rural,32.3842853
Jawa Tengah,2016,Female,Urban,34.7424778
Jawa Tengah,2016,Female,Rural,34.05961271
