Province,Year,Gender,Area_Type,Percentage
Sumatera Utara,2014,Male,Urban+Rural,23.22648968
Sumatera Utara,2014,Female,Urban,24.04278908
Sumatera Utara,2014,Female,Rural,23.68703083
Sumatera Utara,2014,Female,Urban+Rural,23.86280932
Sumatera Utara,2015,Male,Urban,21.53489619
Sumatera Utara,2015,Male,Rural,22.75210812
Sumatera Utara,2015,Male,Urban+Rural,22.15124226
Sumatera Utara,2015,Female,Urban,23.26601328
Sumatera Utara,2015,Female,Rural,24.57115924
Sumatera Utara,2015,Female,Urban+Rural,23.92282557
Sumatera Utara,2016,Male,Urban,21.49479721
Sumatera Utara,2016,Male,Rural,21.94499029
Sumatera Utara,2016,Male,Urban+Rural,21.71893851
Sumatera Utara,2016,Female,Urban,24.08695753
Sumatera Utara,2016,Female,Rural,23.99993301
Sumatera Utara,2016,Female,Urban+Rural,24.04391758
Sumatera Utara,2017,Male,Urban,22.43909198
Sumatera Utara,2017,Male,Rural,22.34032803
Sumatera Utara,2017,Male,Urban+Rural,22.39056929
Sumatera Utara,2017,Female,Urban,24.43966211
Sumatera Utara,2017,Female,Rural,24.80316123
Sumatera Utara,2017,Female,Urban+Rural,24.61743968
Sumatera Utara,2018,Male,Urban,23.00213833
Sumatera Utara,2018,Male,Rural,24.24564021
Sumatera Utara,2018,Male,Urban+Rural,23.58996581
Sumatera Utara,2018,Female,Urban,26.25907943
Sumatera Utara,2018,Female,Rural,25.98954857
Sumatera Utara,2018,Female,Urban+Rural,26.13230562
Sumatera Utara,2019,Male,Urban,24.24928169
Sumatera Utara,2019,Male,Rural,24.85858527
Sumatera Utara,2019,Male,Urban+Rural,24.52359091
Sumatera Utara,2019,Female,Urban,28.41807368
Sumatera Utara,2019,Female,Rural,27.59062902
Sumatera Utara,2019,Female,Urban+Rural,28.03463807
Sumatera Utara,2020,Male,Urban,23.2080878
Sumatera Utara,2020,Male,Rural,26.40458954
Sumatera Utara,2020,Male,Urban+Rural,24.64449914
Sumatera Utara,2020,Female,Urban,26.54199157
Sumatera Utara,2020,Female,Rural,28.80645957
Sumatera Utara,2020,Female,Urban+Rural,27.59233036
Sumatera Utara,2021,Male,Urban,18.08321138
Sumatera Utara,2021,Male,Rural,20.14951128
Sumatera Utara,2021,Male,Urban+Rural,18.99337471
Sumatera Utara,2021,Female,Urban,20.87308095
Sumatera Utara,2021,Female,Rural,23.18231691
Sumatera Utara,2021,Female,Urban+Rural,21.91533964
Sumatera Utara,2022,Male,Urban,26.24351062
Sumatera Utara,2022,Male,Rural,28.95554361
Sumatera Utara,2022,Male,Urban+Rural,27.42112942
Sumatera Utara,2022,Female,Urban,30.59590179
Sumatera Utara,2022,Female,Rural,34.26242887
Sumatera Utara,2022,Female,Urban+Rural,32.16513956
Sumatera Utara,2023,Male,Urban,20.17806117
Sumatera Utara,2023,Male,Rural,25.94704395
Sumatera Utara,2023,Male,Urban+Rural,22.68674512
Sumatera Utara,2023,Female,Urban,22.39035793
Sumatera Utara,2023,Female,Rural,28.02279353
Sumatera Utara,2023,Female,Urban+Rural,24.82130389
Sumatera Barat,2009,Male,Urban,30.16
Sumatera Barat,2009,Male,Rural,38.22
Sumatera Barat,2009,Male,Urban+Rural,35.44
Sumatera Barat,2009,Female,Urban,30
Sumatera Barat,2009,Female,Rural,38.29
Sumatera Barat,2009,Female,Urban+Rural,35.44
Sumatera Barat,2010,Male,Urban,30.02
Sumatera Barat,2010,Male,Rural,34.59
Sumatera Barat,2010,Male,Urban+Rural,32.82
Sumatera Barat,2010,Female,Urban,31.75
Sumatera Barat,2010,Female,Rural,34.94
Sumatera Barat,2010,Female,Urban+Rural,33.7
Sumatera Barat,2011,Male,Urban,27.16
Sumatera Barat,2011,Male,Rural,29.49
Sumatera Barat,2011,Male,Urban+Rural,28.59
Sumatera Barat,2011,Female,Urban,31.09
Sumatera Barat,2011,Female,Rural,28.29
Sumatera Barat,2011,Female,Urban+Rural,30
Sumatera Barat,2012,Male,Urban,26.76
Sumatera Barat,2012,Male,Rural,30.89
Sumatera Barat,2012,Male,Urban+Rural,29.29
Sumatera Barat,2012,Female,Urban,28.36
Sumatera Barat,2012,Female,Rural,32.09
Sumatera Barat,2012,Female,Urban+Rural,30.64
Sumatera Barat,2013,Male,Urban,28.29783365
Sumatera Barat,2013,Male,Rural,28.13860636
Sumatera Barat,2013,Male,Urban+Rural,28.20065835
Sumatera Barat,2013,Female,Urban,31.81800683
Sumatera Barat,2013,Female,Rural,29.88779344
Sumatera Barat,2013,Female,Urban+Rural,30.64066409
Sumatera Barat,2014,Male,Urban,31.60853092
Sumatera Barat,2014,Male,Rural,30.86187828
Sumatera Barat,2014,Male,Urban+Rural,31.15363321
Sumatera Barat,2014,Female,Urban,32.70971259
Sumatera Barat,2014,Female,Rural,32.25791157
Sumatera Barat,2014,Female,Urban+Rural,32.4343501
Sumatera Barat,2015,Male,Urban,26.81401284
Sumatera Barat,2015,Male,Rural,27.91783483
Sumatera Barat,2015,Male,Urban+Rural,27.47945884
Sumatera Barat,2015,Female,Urban,30.41822277
Sumatera Barat,2015,Female,Rural,30.293161220000002
Sumatera Barat,2015,Female,Urban+Rural,30.34280499
Sumatera Barat,2016,Male,Urban,28.96618789
Sumatera Barat,2016,Male,Rural,28.23069412
Sumatera Barat,2016,Male,Urban+Rural,28.53184939
Sumatera Barat,2016,Female,Urban,30.65377745
Sumatera Barat,2016,Female,Rural,29.91854653
Sumatera Barat,2016,Female,Urban+Rural,30.21937727
Sumatera Barat,2017,Male,Urban,28.91195897
Sumatera Barat,2017,Male,Rural,26.22680285
Sumatera Barat,2017,Male,Urban+Rural,27.33932723
Sumatera Barat,2017,Female,Urban,32.02397227
Sumatera Barat,2017,Female,Rural,29.02164124
Sumatera Barat,2017,Female,Urban+Rural,30.26790182
Sumatera Barat,2018,Male,Urban,27.53845579
Sumatera Barat,2018,Male,Rural,26.82762487
Sumatera Barat,2018,Male,Urban+Rural,27.1405555
Sumatera Barat,2018,Female,Urban,32.32209175
Sumatera Barat,2018,Female,Rural,31.00303285
Sumatera Barat,2018,Female,Urban+Rural,31.58490819
Sumatera Barat,2019,Male,Urban,28.73359808
Sumatera Barat,2019,Male,Rural,27.14932577
Sumatera Barat,2019,Male,Urban+Rural,27.90219528
Sumatera Barat,2019,Female,Urban,33.80652798
Sumatera Barat,2019,Female,Rural,29.97793722
Sumatera Barat,2019,Female,Urban+Rural,31.7538868
Sumatera Barat,2020,Male,Urban,30.45840119
Sumatera Barat,2020,Male,Rural,27.01672897
Sumatera Barat,2020,Male,Urban+Rural,28.65286883
Sumatera Barat,2020,Female,Urban,36.31743116
Sumatera Barat,2020,Female,Rural,31.08485371
Sumatera Barat,2020,Female,Urban+Rural,33.51507334
Sumatera Barat,2021,Male,Urban,25.04289727
Sumatera Barat,2021,Male,Rural,20.3884546
Sumatera Barat,2021,Male,Urban+Rural,22.70002608
Sumatera Barat,2021,Female,Urban,28.92031274
Sumatera Barat,2021,Female,Rural,23.85003053
Sumatera Barat,2021,Female,Urban+Rural,26.31185061
Sumatera Barat,2022,Male,Urban,15.20090023
Sumatera Barat,2022,Male,Rural,36.01769971
Sumatera Barat,2022,Male,Urban+Rural,25.91665496
Sumatera Barat,2022,Female,Urban,19.38393799
Sumatera Barat,2022,Female,Rural,41.70034964
Sumatera Barat,2022,Female,Urban+Rural,30.69469397
Sumatera Barat,2023,Male,Urban,26.96995386
Sumatera Barat,2023,Male,Rural,25.78395998
Sumatera Barat,2023,Male,Urban+Rural,26.37695816
Sumatera Barat,2023,Female,Urban,32.02879325
Sumatera Barat,2023,Female,Rural,30.88999135
Sumatera Barat,2023,Female,Urban+Rural,31.46109921
Riau,2009,Male,Urban,27.13
Riau,2009,Male,Rural,32.48
Riau,2009,Male,Urban+Rural,29.77
Riau,2009,Female,Urban,27.11
Riau,2009,Female,Rural,32.91
Riau,2009,Female,Urban+Rural,30.01
Riau,2010,Male,Urban,32.27
Riau,2010,Male,Rural,29.19
Riau,2010,Male,Urban+Rural,30.39
Riau,2010,Female,Urban,31.97
Riau,2010,Female,Rural,31.1
Riau,2010,Female,Urban+Rural,31.45
Riau,2011,Male,Urban,24.32
Riau,2011,Male,Rural,24.99
Riau,2011,Male,Urban+Rural,24.73
Riau,2011,Female,Urban,25.61
Riau,2011,Female,Rural,23.92
Riau,2011,Female,Urban+Rural,24.95
Riau,2012,Male,Urban,26.4
Riau,2012,Male,Rural,22.12
Riau,2012,Male,Urban+Rural,23.79
Riau,2012,Female,Urban,26.78
Riau,2012,Female,Rural,23.91
Riau,2012,Female,Urban+Rural,25.05
Riau,2013,Male,Urban,24.03961223
Riau,2013,Male,Rural,23.69754748
Riau,2013,Male,Urban+Rural,23.83116161
Riau,2013,Female,Urban,24.23871148
Riau,2013,Female,Rural,24.27646157
Riau,2013,Female,Urban+Rural,24.26160688
Riau,2014,Male,Urban,25.43802521
Riau,2014,Male,Rural,25.23515519
Riau,2014,Male,Urban+Rural,25.31436809
Riau,2014,Female,Urban,26.81676014
Riau,2014,Female,Rural,27.32464532
Riau,2014,Female,Urban+Rural,27.12485708
Riau,2015,Male,Urban,29.5594647
Riau,2015,Male,Rural,28.09780434
Riau,2015,Male,Urban+Rural,28.66297491
Riau,2015,Female,Urban,30.75059698
Riau,2015,Female,Rural,30.84132888
Riau,2015,Female,Urban+Rural,30.80589685
Riau,2016,Male,Urban,29.54319814
Riau,2016,Male,Rural,25.48835726
Riau,2016,Male,Urban+Rural,27.07292007
Riau,2016,Female,Urban,30.09913194
Riau,2016,Female,Rural,27.86788225
Riau,2016,Female,Urban+Rural,28.75045944
Riau,2017,Male,Urban,24.79644376
Riau,2017,Male,Rural,26.43123893
Riau,2017,Male,Urban+Rural,25.78367864
Riau,2017,Female,Urban,27.95910541
Riau,2017,Female,Rural,29.45906295
Riau,2017,Female,Urban+Rural,28.86026177
Riau,2018,Male,Urban,27.00179779
Riau,2018,Male,Rural,29.89481508
Riau,2018,Male,Urban+Rural,28.73155857
Riau,2018,Female,Urban,29.76740908
Riau,2018,Female,Rural,31.07443936
Riau,2018,Female,Urban+Rural,30.54495272
Riau,2019,Male,Urban,25.02889999
Riau,2019,Male,Rural,25.20362203
Riau,2019,Male,Urban+Rural,25.13212182
Riau,2019,Female,Urban,29.80512425
Riau,2019,Female,Rural,26.49057463
Riau,2019,Female,Urban+Rural,27.81048315
Riau,2020,Male,Urban,25.30013699
Riau,2020,Male,Rural,22.4169056
Riau,2020,Male,Urban+Rural,23.59607729
Riau,2020,Female,Urban,28.32294633
Riau,2020,Female,Rural,24.10785828
Riau,2020,Female,Urban+Rural,25.78410265
Riau,2021,Male,Urban,31.56898727
Riau,2021,Male,Rural,15.79655793
